  658       -1.58
    0.141  355.1    0.057  330.9    0.039    0.2
  684      -11.01
    1.788   13.7    0.613    3.8    0.352   43.3
    0.550   67.2    0.187   56.6    0.110   98.2
    0.324  349.1    0.100  341.6    0.062   23.5
    0.140  355.3    0.057  331.1    0.039    0.6
  685      -13.13
    1.777   13.7    0.616    4.8    0.361   43.7
    0.546   67.2    0.189   57.5    0.113   98.3
    0.322  349.0    0.101  342.6    0.063   23.8
    0.139  355.7    0.057  331.2    0.040    0.8
  686      -15.45
    1.765   13.7    0.621    5.8    0.371   43.9
    0.542   67.2    0.191   58.5    0.116   98.4
    0.320  349.0    0.102  343.6    0.065   24.0
    0.138  356.2    0.057  331.2    0.040    1.0
  687      -14.07
    1.758   13.7    0.627    6.1    0.374   44.3
    0.540   67.1    0.193   58.8    0.117   98.8
    0.319  348.9    0.103  344.0    0.065   24.4
    0.137  356.2    0.058  330.9    0.040    1.3
  688      -11.85
    1.751   13.6    0.628    6.2    0.382   44.6
    0.538   67.0    0.193   58.8    0.119   98.8
    0.318  348.9    0.103  344.0    0.067   24.6
    0.136  356.2    0.057  330.8    0.040    1.2
  689      -10.25
    1.743   13.6    0.627    6.4    0.393   44.7
    0.535   67.0    0.193   58.8    0.123   98.7
    0.316  348.8    0.103  344.1    0.069   24.7
    0.136  356.3    0.057  330.7    0.040    0.9
  690       -8.64
    1.734   13.6    0.625    6.5    0.404   44.8
    0.533   67.0    0.193   58.9    0.127   98.6
    0.315  348.8    0.103  344.2    0.071   24.7
    0.135  356.4    0.057  330.7    0.040    0.5
  691       -7.01
    1.726   13.6    0.624    6.7    0.415   44.9
    0.530   67.0    0.192   59.0    0.130   98.5
    0.313  348.8    0.103  344.3    0.073   24.7
    0.134  356.6    0.056  330.7    0.040    0.2
  692       -9.78
    1.717   13.5    0.628    8.0    0.423   44.6
    0.527   66.9    0.194   60.2    0.133   98.1
    0.312  348.7    0.104  345.6    0.074   24.4
    0.133  356.6    0.056  331.0    0.039    0.0
  693      -13.09
    1.709   13.4    0.639   10.0    0.424   44.1
    0.524   66.8    0.198   62.2    0.133   97.4
    0.310  348.6    0.105  347.7    0.074   23.7
    0.132  356.6    0.057  331.4    0.039    0.0
  694      -16.55
    1.700   13.3    0.651   12.1    0.426   43.5
    0.521   66.7    0.203   64.2    0.134   96.8
    0.309  348.5    0.107  349.8    0.074   23.0
    0.131  356.5    0.058  331.9    0.038    0.0
  695      -20.19
    1.691   13.1    0.665   14.2    0.427   42.9
    0.518   66.5    0.208   66.3    0.134   96.1
    0.308  348.3    0.110  351.9    0.074   22.2
    0.129  356.4    0.058  332.4    0.037    0.0
  696      -17.14
    1.681   13.0    0.678   14.4    0.421   42.8
    0.515   66.4    0.212   66.5    0.132   96.0
    0.306  348.2    0.112  352.1    0.073   22.4
    0.128  356.6    0.059  332.1    0.037  359.6
  697      -13.93
    1.670   12.9    0.690   14.5    0.416   42.9
    0.512   66.3    0.216   66.5    0.130   96.0
    0.304  348.1    0.114  352.2    0.072   22.7
    0.127  356.9    0.060  331.8    0.036  359.1
  698      -10.57
    1.659   12.8    0.703   14.6    0.410   42.9
    0.509   66.1    0.220   66.6    0.128   96.1
    0.302  347.9    0.116  352.2    0.071   23.1
    0.126  357.2    0.060  331.4    0.036  358.7
  699       -9.96
    1.647   12.7    0.709   15.7    0.417   42.5
    0.505   66.0    0.222   67.6    0.131   95.5
    0.300  347.8    0.117  353.2    0.072   22.4
    0.124  357.3    0.061  332.0    0.035  357.9
  700      -14.29
    1.636   12.6    0.704   17.3    0.441   42.3
    0.501   65.9    0.221   69.3    0.139   95.0
    0.298  347.6    0.116  355.0    0.077   21.8
    0.123  357.2    0.060  333.2    0.035  357.0
  701      -18.88
    1.625   12.5    0.699   19.1    0.466   42.1
    0.498   65.8    0.220   71.1    0.148   94.6
    0.296  347.5    0.116  356.8    0.081   21.3
