0	3.3	290	10.2
28.44	3.3	1600	102
56.89	3.3	2930	182
85.33	3.3	3830	303.1
113.77	3.3	5410	404
142.21	5	6720	600
170.66	5	8210	845
199.1	5	9005	972
226.28	6.7	10100	1139
253.46	6.7		
280.65	8.5		
307.83	8.5		
335.01	10.2		
362.19	10.2		
389.37	10.2		
416.55	11.8		
443.74	11.8
470.92	13.5
498.1	13.5
523.33	15.2
548.56	16.9
573.79	16.9
599.01	18.5
624.24	18.5
649.47	20.2
674.7	21.9
699.93	21.9
725.16	23.6
750.39	25.2
775.61	26.9
800.84	28.6
826.07	30.3
851.3	30.3
879.31	33.6
907.31	35.3
935.32	37
963.33	38.7
991.34	40.3
1019.34	42
1047.35	42
1073.86	45.3
1100.36	48.7
1126.87	52
1153.38	53.7
1179.89	57
1206.39	58.6
1232.9	62
1258.87	63.6
1284.83	66.9
1310.8	68.6
1336.77	70.2
1362.73	73.6
1388.7	75.2
1414.67	76.9
1440.63	78.5
1466.6	80.2
1492.57	83.5
1518.53	85.2
1544.5	86.8
1570.54	88.5
1596.58	90.2
1622.63	91.8
1648.67	93.5
1674.71	95.2
1700.75	96.9
1726.79	98.5
1752.84	100.2
1778.88	101.9
1804.92	103.6
1830.96	105.2
1857.01	106.9
1883.05	108.6
1909.09	110.3
1935.13	112
1961.17	113.7
1987.22	115.3
2013.26	117
2039.3	117
2068.84	118.7
2098.38	122.1
2127.92	123.8
2157.46	125.5
2187	127.2
2212.73	128.9
2238.46	132.3
2264.19	134
2289.92	135.6
2315.65	137.3
2341.38	140.7
2367.12	142.4
2392.85	144.1
2418.58	147.5
2444.31	149.2
2470.04	152.7
2495.77	154.4
2521.5	156.1
2546.95	159.5
2572.41	161.2
2597.86	162.9
2623.32	164.6
2648.77	166.3
2674.23	168
2699.68	171.5
2725.14	173.2
2750.59	174.9
2776.05	176.6
2801.5	180
2827.54	181.7
2853.57	183.4
2879.61	186.8
2905.65	188.6
2931.69	190.3
2957.73	193.7
2983.76	195.4
3009.8	197.2
3035.91	200.6
3062.02	202.3
3088.12	204.1
3114.23	205.8
3140.34	209.2
3166.45	211
3192.56	214.3
3218.67	216
3244.77	217.7
3270.88	221.2
3296.99	222.9
3323.1	224.7
3349.98	228.2
3376.85	229.9
3403.73	231.7
3430.6	235.2
3457.48	236.9
3484.35	240.4
3511.23	242.2
3538.1	245.7
3558.8	226.5
3583.98	235.2
3609.15	243.9
3634.33	249.2
3659.51	254.4
3684.68	257.9
3709.86	259.6
3735.04	263.1
3760.21	264.8
3785.39	268.3
3810.57	270
3835.74	273.5
3860.92	275.3
3886.1	277
3911.27	280.5
3936.45	282.2
3961.63	285.7
3986.8	287.4
4011.98	290.9
4037.16	292.6
4062.33	296.1
4087.51	297.8
4112.69	301.3
4137.86	304.8
4163.04	306.5
4188.22	310
4213.39	313.5
4238.57	315.2
4263.75	318.7
4288.92	322.1
4314.1	325.6
4341.42	329.1
4368.74	332.6
4396.07	336.1
4423.39	339.5
