0	0	1.666666627	0	6.666666508
10	0	1.639698267	0	6.698758602
20	0	1.614020109	0	6.730864048
30	0	1.591165185	0	6.762983799
40	0	1.572144747	0	6.795119762
50	0	1.557486773	0	6.827273369
60	0	1.547172785	0	6.859446049
70	0	1.540551782	0	6.891640663
80	0	1.536296844	0	6.923860073
90	0	1.532465458	0	6.956109047
100	0	1.526724815	0	6.98839426
110	0	1.516787529	0	7.02072525
120	0	1.501068473	0	7.053114414
130	0	1.479496717	0	7.085575104
140	0	1.454265833	0	7.118122578
150	0	1.430048466	0	7.150769234
160	0	1.412767529	0	7.18351841
170	0	1.405331731	0	7.21635437
180	0	1.39768517	0	7.24922657
190	0	1.346914172	0	7.282021523
200	4.340190887	-3.000873327	4.478110313	2.83885932
210	0	-3.053701162	0	2.871911287
220	0	-3.0641644	0	2.904874325
230	0	-3.075640202	0	2.937867641
240	0	-3.098208904	0	2.970948219
250	0	-3.128788471	0	3.00413537
260	0	-3.161199093	0	3.037430048
270	0	-3.190470695	0	3.070822477
280	0	-3.214086771	0	3.104300499
290	0	-3.231775522	0	3.137851238
300	0	-3.244766235	0	3.17146492
310	0	-3.254989624	0	3.205133438
320	0	-3.264439583	0	3.238851309
330	0	-3.274761438	0	3.272614717
340	0	-3.287053585	0	3.306420803
350	0	-3.301836729	0	3.340267897
360	0	-3.319133043	0	3.374153614
370	0	-3.338605404	0	3.408076048
380	0	-3.359714508	0	3.442032099
390	0	-3.38186574	0	3.476017475
400	0	-3.404528618	0	3.510027409
410	0	-3.427319288	0	3.544055223
420	0	-3.450046301	0	3.578094006
430	0	-3.472723246	0	3.612134933
440	0	-3.495552301	0	3.646168947
450	0	-3.51888895	0	3.680185795
460	0	-3.543194532	0	3.714174271
470	0	-3.568982363	0	3.748123407
480	0	-3.596764565	0	3.782021046
490	0	-3.627004385	0	3.815855265
500	0	-3.632738352	0	4.062452316
510	0	-3.668894291	0	4.096140862
520	0	-3.708256721	0	4.12972641
530	0	-3.750807047	0	4.163196564
540	0	-3.796386957	0	4.196537018
550	0	-3.844706059	0	4.229734898
560	0	-3.895358801	0	4.262776375
570	0	-3.947844267	0	4.295646667
580	0	-4.001589775	0	4.328330994
590	0	-4.055976868	0	4.360813141
600	0	-4.110359192	0	4.393186569
610	0	-4.164101601	0	4.425435543
620	0	-4.216600895	0	4.457437038
630	0	-4.267292023	0	4.489175797
640	0	-4.315666199	0	4.520637035
650	0	-4.361284733	0	4.551804543
660	0	-4.40378809	0	4.582660675
670	0	-4.44289732	0	4.613188267
680	0	-4.478419781	0	4.643370152
690	0	-4.510243893	0	4.67318821
700	0	-4.538336754	0	4.702623844
710	0	-4.562738895	0	4.731658936
720	0	-4.583554268	0	4.760273933
730	0	-4.600943565	0	4.788450718
740	0	-4.615112782	0	4.816169262
750	0	-4.626305103	0	4.843410492
760	0	-4.634788036	0	4.870154858
770	0	-4.640847206	0	4.896383286
780	0	-4.644773006	0	4.922075272
790	0	-4.646856308	0	4.947211266
800	0	-4.647377014	0	4.971772194
810	0	-4.646600246	0	4.995738983
820	0	-4.644770145	0	5.019092083
830	0	-4.642105103	0	5.041813374
840	0	-4.638794422	0	5.063884258
850	0	-4.634996414	0	5.085287571
860	0	-4.63083744	0	5.106006622
870	0	-4.626411915	0	5.126025677
880	0	-4.621781826	0	5.145329475
890	0	-4.616979599	0	5.16390419
900	0	-4.612008572	0	5.181737423
910	0	-4.606847286	0	5.19881773
920	0	-4.601449966	0	5.215135098
930	0	-4.595752716	0	5.230681419
940	0	-4.589673996	0	5.245449066
950	0	-4.583119392	0	5.259432316
960	0	-4.575986385	0	5.272628307
970	0	-4.568164349	0	5.285033703
980	0	-4.559541225	0	5.296648502
990	0	-4.550003529	0	5.307473183
1000	0	-4.539441586	0	5.317510128
