     Time        WW       Cap      Tair      Patm      Hrel      Nebu    Pr?ip.     Evap.
      sec       m/s         ?        ?C      mbar         %      octa m3/s/m2*e-m3/s/m2*e-8
   8542800      0.9         80      6.5    1019.1         92         5 0.000E+00     0.88
   8553600         0         0      8.9    1017.9         93         5 0.000E+00     0.87
   8564400         0         0      8.2    1017.2         94         5 0.000E+00     0.85
   8575200      1.6        250     10.2    1016.4         94         7 0.000E+00     0.84
   8586000      1.3         10        11   1017.3         92         7 0.000E+00     0.82
   8596800      1.4         20        14   1016.2         80         5 0.000E+00     0.81
   8607600      4.6        260     14.4    1015.6         74         6 0.000E+00     0.88
   8618400         0         0        10      1017        84         7 0.000E+00     0.95
   8629200      2.2        140        10   1017.7         87         7 0.000E+00     1.03
   8640000      1.9        110        11   1017.6         84         7 0.000E+00      1.1
   8650800         0         0      9.5    1017.7         88         7 0.000E+00     1.17
   8661600      1.5        230      8.4    1017.9         93         4 0.000E+00     1.24
   8672400      0.9         40     10.6    1019.1         95         7 0.000E+00     1.32
   8683200         1       280     16.9    1018.9         65         2 0.000E+00     1.39
   8694000         0         0     18.7    1018.4         58         1 0.000E+00     1.42
   8704800      1.5        170     13.7    1019.7         79         2 0.000E+00     1.45
   8715600         2       140     12.5    1020.8         84         1 0.000E+00     1.48
   8726400         2       110     11.5    1021.1         83         1 0.000E+00      1.5
   8737200         3        90     10.9    1021.2         82         1 0.000E+00     1.53
   8748000      3.9        110     11.8    1021.7         80         1 0.000E+00     1.56
   8758800      3.3         90     14.7    1022.9         71         6 0.000E+00     1.59
   8769600      5.4        170     18.9    1023.1         50         1 0.000E+00     1.62
   8780400      6.3        160     15.6    1023.4         73         5 0.000E+00     1.65
   8791200         3       110     13.7    1024.8         80         7 0.000E+00     1.68
   8802000      2.1         70     13.8    1025.3         76         7 0.000E+00     1.71
   8812800      1.3        360     10.5    1025.8         86         6 0.000E+00     1.74
   8823600      1.1        180         9   1025.2         90         7 0.000E+00     1.77
   8834400      0.8        310      6.7    1025.6         93         2 0.000E+00     1.79
   8845200      1.2        250      8.9    1026.9         95         1 0.000E+00     1.82
   8856000      6.6        290     14.1    1025.4         67         1 0.000E+00     1.85
   8866800      8.1        300     14.9    1024.3         55         6 0.000E+00      2.2
   8877600      5.7        300     11.8       1025        64         5 0.000E+00     2.55
   8888400      6.6        290     11.4    1025.4         65         1 0.000E+00     2.89
   8899200      7.6        300     10.6    1025.2         69         0 0.000E+00     3.24
   8910000     10.3        300     10.6    1024.4         69         0 0.000E+00     3.59
   8920800     12.5        300     11.9    1023.5         68         0 0.000E+00     3.94
   8931600     11.7        310     14.9    1024.4         62         3 0.000E+00     4.28
   8942400     13.4        310     16.8    1024.8         53         5 0.000E+00     4.63
   8953200     10.7        320     16.7    1023.5         49         3 0.000E+00     4.21
   8964000     15.4        320     14.8    1023.6         42         0 0.000E+00     3.79
   8974800      2.2         20     13.4    1023.1         45         0 0.000E+00     3.37
   8985600      3.1         60     10.4    1022.2         55         0 0.000E+00     2.95
   8996400      1.6         80      7.3    1022.4         69         0 0.000E+00     2.53
   9007200      0.9         90      5.7    1022.5         70         0 0.000E+00     2.11
   9018000      2.2        160     10.7    1023.6         59         1 0.000E+00     1.69
   9028800      1.5        300        15   1023.2         54         1 0.000E+00     1.27
   9039600      2.2        290        14   1022.1         63         2 0.000E+00     1.29
   9050400      1.7        130     10.3    1023.1         83         2 0.000E+00      1.3
   9061200      0.8        100      9.3    1024.2         91         7 0.000E+00     1.32
   9072000      1.1        240      9.8    1024.8         90         7 0.000E+00     1.33
   9082800      1.4        180      8.2    1024.3         91         7 0.000E+00     1.35
   9093600      7.1        340      8.5    1024.3         94         5 0.000E+00     1.36
   9104400      3.5        310      9.2    1024.3         84         5 0.000E+00     1.37
   9115200      5.3        340     14.6    1023.3         66         5 0.000E+00     1.39
   9126000      6.6        320     15.1    1022.4         59         3 0.000E+00     1.32
   9136800      2.6        310     10.2    1023.5         76         0 0.000E+00     1.24
   9147600      1.4        130      7.8    1024.8         83         0 0.000E+00     1.17
   9158400      1.6        210      5.9    1025.1         90         1 0.000E+00      1.1
   9169200      0.8         50      5.1    1025.3         92         1 0.000E+00     1.03
   9180000         1       170      5.9    1025.3         93         2 0.000E+00     0.95
   9190800      1.7        270      8.7    1025.9         93         5 0.000E+00     0.88
   9201600      1.8        250     11.5    1025.2         79         7 0.000E+00     0.81
   9212400         0         0     12.9    1023.7         75         7 0.000E+00     0.84
   9223200      2.8         90     13.2    1023.8         71         6 0.000E+00     0.87
   9234000      3.3         70     11.2    1023.6         78         8 0.000E+00      0.9
   9244800      2.9         80     11.3    1023.3         77         8 0.000E+00     0.93
   9255600      4.6         90     11.9    1022.1         75         8 0.000E+00     0.95
   9266400      3.6        100        12      1022        73         8 0.000E+00     0.98
   9277200         2       120     12.5       1023        75         8 0.000E+00     1.01
   9288000         4       130     14.7    1022.4         70         8 0.000E+00     1.04
   9298800         3       150     14.6    1021.3         72         7 0.000E+00     1.04
   9309600         3        90     12.4    1021.9         79         7 0.000E+00     1.04
   9320400         4       100     12.1    1022.3         79         7 0.000E+00     1.04
   9331200         3       120     11.8    1021.9         78         7 0.000E+00     1.04
   9342000         1       180        11   1021.6         81         7 0.000E+00     1.04
   9352800         2       270     10.2    1022.3         85         7 0.000E+00     1.04
   9363600         2       340        10   1023.3         88         3 0.000E+00     1.04
   9374400         2       330     14.7    1022.4         71         2 0.000E+00     1.04
   9385200         2       250     15.3       1022        69         1 0.000E+00     1.01
   9396000         1       160     10.8    1023.3         86         3 0.000E+00     0.98
   9406800         3       310      9.6    1024.4         93         9 0.000E+00     0.95
   9417600         0         0      9.4    1024.1         94         9 0.000E+00     0.93
   9428400         2       340      7.3    1023.8         93         7 0.000E+00      0.9
   9439200         3        40      8.1    1023.2         94         7 0.000E+00     0.87
   9450000      1.6        220      8.9    1023.9         90         8 0.000E+00     0.84
   9460800      0.9        340     12.8    1023.1         77         6 0.000E+00     0.81
   9471600         0         0     13.6       1022        75         7 0.000E+00     1.09
   9482400      1.7        280     11.8    1022.2         86         8 0.000E+00     1.36
   9493200         3       300        11   1022.1         91         7 0.000E+00     1.63
   9504000      5.9        300      9.5    1021.2         89         2 0.000E+00     1.91
   9514800      6.6        310     10.7    1020.3         91         2 0.000E+00     2.18
   9525600        10       280     13.6    1020.2         75         1 0.000E+00     2.46
   9536400      9.6        300     14.5    1022.1         71         3 0.000E+00     2.73
   9547200      9.9        310        19   1021.7         52         2 0.000E+00     3.01
   9558000      8.6        330     19.5    1021.4         47         4 0.000E+00     2.86
   9568800         9       300        15   1021.7         66         4 0.000E+00     2.72
   9579600      5.5        330     14.8    1022.5         66         0 0.000E+00     2.58
   9590400      7.3        280     12.8    1021.2         75         1 0.000E+00     2.43
   9601200      6.8        310        12   1019.6         78         1 0.000E+00     2.29
   9612000      1.7        270     10.6    1019.8         81         4 0.000E+00     2.14
   9622800      0.8        210     12.3    1019.7         78         6 0.000E+00         2
   9633600         1       280     16.5    1019.2         62         7 0.000E+00     1.85
   9644400      4.9        280     17.6    1017.7         57         4 0.000E+00     1.91
   9655200      3.6        280     12.4    1017.6         78         4 0.000E+00     1.97
   9666000      2.1        200        11   1018.3         79         3 0.000E+00     2.03
   9676800      0.9        190      9.3       1018        81         4 0.000E+00     2.08
   9687600      3.1        290      7.9    1017.7         87         4 0.000E+00     2.14
   9698400      2.8        320         7   1017.8         90         7 0.000E+00      2.2
   9709200      1.3        340      8.8    1018.2         87         7 0.000E+00     2.26
   9720000      5.3        280     13.4    1017.3         71         7 0.000E+00     2.31
   9730800      7.6        330     14.6    1015.3         51         7 2.160E-01     2.23
   9741600      5.2        320        11   1015.2         60         7 4.309E-01     2.14
   9752400      6.4        330      9.9    1014.5         55         6 6.469E-01     2.05
   9763200      4.9        340         9   1013.1         59         6 8.629E-01     1.97
   9774000      0.9        360      6.5    1011.4         67         6 1.078E+00     1.88
   9784800      1.8        150      6.1    1009.6         73         7 1.294E+00     1.79
   9795600         0         0      7.9       1009        73         8 1.510E+00     1.71
   9806400         0         0     10.8    1007.3         59         8 1.725E+00     1.62
   9817200         6       150     13.6    1004.3         66         8 1.510E+00     1.61
   9828000         6       110     12.6    1002.8         65         8 1.294E+00     1.59
   9838800         5       120     13.2    1000.4         59         8 1.078E+00     1.58
   9849600         7       160     11.9     998.7         85         8 8.629E-01     1.56
   9860400         7       170     13.5     996.5         82         8 6.469E-01     1.55
   9871200         5       240      9.4     996.1         90         8 4.309E-01     1.53
   9882000         4       260      7.7     996.2         84         8 2.160E-01     1.52
   9892800         8       280      7.5     995.4         65         8 0.000E+00      1.5
   9903600         8       280      8.3     995.4         63         7 0.000E+00     1.62
   9914400        10       280      6.8     995.4         63         7 0.000E+00     1.74
   9925200        11       290      3.5     996.7         61         7 0.000E+00     1.85
   9936000        12       300      3.4     997.7         61         7 0.000E+00     1.97
   9946800        11       310      1.2     997.7         78         7 0.000E+00     2.08
   9957600        14       320      0.9        998        63         7 0.000E+00      2.2
   9968400        18       320      1.7     997.8         56         4 0.000E+00     2.31
   9979200        19       320      2.9     997.9         52         5 0.000E+00     2.43
   9990000        14       330         3    998.9         51         6 0.000E+00     2.31
  10000800        14       320      1.2    1000.1         56         1 0.000E+00      2.2
  10011600        13       330      0.6    1001.2         56         0 0.000E+00     2.08
  10022400        11       320     -0.4    1001.3         58         0 0.000E+00     1.97
  10033200         8       320        -1   1001.3         62         0 0.000E+00     1.85
  10044000         2        60     -3.1    1001.7         67         0 0.000E+00     1.74
  10054800      3.9         10     -1.2    1004.4         62         7 0.000E+00     1.62
  10065600      3.9        310      4.8    1004.8         46         6 0.000E+00      1.5
  10076400      3.1        310      6.6    1005.8         48         7 0.000E+00      1.5
  10087200      4.6         10      1.6    1008.4         60         5 0.000E+00      1.5
  10098000      3.2        360     -1.3    1010.8         71         1 0.000E+00      1.5
  10108800      2.3        140     -2.6    1011.6         79         1 0.000E+00      1.5
  10119600      1.7        140     -2.1    1011.5         81         8 0.000E+00      1.5
  10130400      2.3         10     -0.9    1012.1         80         7 0.000E+00      1.5
  10141200         1       350         1   1013.9         71         5 0.000E+00      1.5
  10152000         4       330      5.7    1014.1         56         7 0.000E+00      1.5
  10162800         7       330      6.2    1013.2         49         2 0.000E+00     1.53
  10173600         6       330      0.9    1014.7         57         0 0.000E+00     1.56
  10184400         9       340     -0.2    1016.2         59         0 0.000E+00     1.59
  10195200         7       340     -2.3    1017.4         66         0 0.000E+00     1.62
  10206000         4        10     -1.8    1018.6         61         0 0.000E+00     1.65
  10216800         4       350     -2.4    1018.9         63         0 0.000E+00     1.68
  10227600      2.8        360      0.3    1020.4         52         1 0.000E+00     1.71
  10238400      5.7        350      6.5    1020.4         36         1 0.000E+00     1.74
  10249200      7.7        330      8.4    1019.7         45         1 0.000E+00     1.71
  10260000      6.3        360      3.4    1021.2         64         1 0.000E+00     1.68
  10270800      2.6        360     -0.3    1023.5         76         0 0.000E+00     1.65
  10281600      1.2        210     -0.7    1024.9         77         0 0.000E+00     1.62
  10292400      5.8         10      0.3    1024.4         74         0 0.000E+00     1.59
  10303200      2.3        140     -2.4    1025.2         82         0 0.000E+00     1.56
  10314000      1.8        160      2.5    1026.7         67         0 0.000E+00     1.53
  10324800      0.8        260      9.3    1025.5         50         0 0.000E+00      1.5
  10335600      4.4        290     11.1    1023.6         54         0 0.000E+00     1.48
  10346400      3.6        330      4.9    1023.6         66         2 0.000E+00     1.45
  10357200      1.7        150      1.4    1022.5         80         3 0.000E+00     1.42
  10368000      1.4        150     -1.3    1021.3         86         3 0.000E+00     1.39
  10378800         2        40     -2.7    1019.4         89         3 0.000E+00     1.36
  10389600      2.3        120     -2.6    1017.5         89         1 0.000E+00     1.33
  10400400      1.6        160      1.2    1017.6         81         1 0.000E+00      1.3
  10411200      8.2        340      8.5    1016.1         51         1 0.000E+00     1.27
  10422000      5.8        330      9.1    1014.6         54         1 0.000E+00     1.27
  10432800      0.6         40      4.1       1015        71         0 0.000E+00     1.27
  10443600      0.7        210      1.3    1015.9         80         0 0.000E+00     1.27
  10454400      1.2        130     -0.8    1016.1         85         0 0.000E+00     1.27
  10465200         0         0     -1.2    1016.1         89         0 0.000E+00     1.27
  10476000      2.2        140     -0.4    1016.9         91         1 0.000E+00     1.27
  10486800         0         0         4   1018.3         90         7 0.000E+00     1.27
  10497600      1.5        270      8.2    1018.3         72         7 0.000E+00     1.27
  10508400         0         0     12.7       1017        56         3 0.000E+00     1.29
  10519200         0         0      7.7    1017.7         73         4 0.000E+00      1.3
  10530000      0.5        140         5   1018.7         84         5 0.000E+00     1.32
  10540800         0         0      3.7       1019        88         4 0.000E+00     1.33
  10551600      1.4         10         4   1018.4         90         8 0.000E+00     1.35
  10562400      1.3        230      3.7    1018.7         89         3 0.000E+00     1.36
  10573200      1.8        260      8.8    1019.5         80         4 0.000E+00     1.37
  10584000      3.1        280     11.2    1018.9         65         7 0.000E+00     1.39
  10594800      1.9        290        12      1018        62         8 0.000E+00      1.4
  10605600      1.8        320     10.2    1018.3         66         7 0.000E+00     1.42
  10616400         3       290      7.6    1018.9         72         7 0.000E+00     1.43
  10627200      2.1        140         5   1018.4         82         2 0.000E+00     1.45
  10638000      2.2        340      2.3    1018.3         86         2 0.000E+00     1.46
  10648800      3.5        350      1.8    1018.4         85         2 0.000E+00     1.48
  10659600      1.4        350      3.5    1018.8         78         0 0.000E+00     1.49
  10670400      4.2        340        10   1018.1         52         0 0.000E+00      1.5
  10681200      4.2        330     11.4    1017.2         50         1 0.000E+00     1.46
  10692000      5.1        310      6.6    1018.2         68         2 0.000E+00     1.42
  10702800      2.2        150      2.6    1019.6         79         2 0.000E+00     1.37
  10713600      0.6         90      0.9    1020.7         86         1 0.000E+00     1.33
  10724400      1.1        110      0.2    1021.4         88         1 0.000E+00     1.29
  10735200      1.7        160     -0.3    1022.2         90         3 0.000E+00     1.24
  10746000         1       200      6.1    1024.4         71         1 0.000E+00      1.2
  10756800      0.8        280     11.2       1024        57         1 0.000E+00     1.16
  10767600      1.6        240     14.7    1023.4         55         1 0.000E+00     1.16
  10778400      2.5        360      9.3    1024.3         80         3 0.000E+00     1.16
  10789200      0.7        140      9.7    1024.3         84         7 0.000E+00     1.16
  10800000      2.1        160      4.9    1023.7         86         1 0.000E+00     1.16
  10810800         3       150      4.1    1023.1         90         1 0.000E+00     1.16
  10821600      2.4        150      1.6    1022.3         91         1 0.000E+00     1.16
  10832400         1       310         4   1022.1         92         3 0.000E+00     1.16
  10843200      1.6        270      9.8    1020.5         68         3 0.000E+00     1.16
  10854000      0.9        270     13.3    1018.5         52         6 0.000E+00     1.16
  10864800      1.1        230      7.1    1018.1         71         3 0.000E+00     1.16
  10875600      0.9         10         4   1018.2         82         2 0.000E+00     1.16
  10886400      1.3         20      2.1    1017.8         88         1 0.000E+00     1.16
  10897200         0         0      0.9    1017.8         91         1 0.000E+00     1.16
  10908000      0.6        160      3.1    1019.9         94         1 0.000E+00     1.16
  10918800      1.2        240      7.6       1022        86         0 0.000E+00     1.16
  10929600         3       270     14.3    1022.3         66         2 0.000E+00     1.16
  10940400      3.5        290     14.3    1021.7         65         1 5.940E-02     1.11
  10951200      2.9         20      9.8    1022.3         77         1 1.188E-01     1.07
  10962000      1.9        150      5.5    1022.7         86         0 1.782E-01     1.03
  10972800      0.7        180      3.5       1022        90         0 2.376E-01     0.98
  10983600      1.9        250      3.2    1021.5         92         0 2.970E-01     0.94
  10994400      1.2        170      1.4    1020.5         92         0 3.564E-01      0.9
  11005200      1.1        290      5.6    1020.1         94         2 4.158E-01     0.85
  11016000         1       310     12.3       1018        67         1 4.752E-01     0.81
  11026800      1.9        290        14   1015.2         61         1 4.158E-01     0.91
  11037600      2.2        180     12.1    1013.9         76         7 3.564E-01     1.01
  11048400      1.3         30     11.1    1012.3         82         7 2.970E-01     1.11
  11059200      1.7         30      9.5       1010        84         7 2.376E-01     1.22
  11070000      2.9         10         9   1007.2         91         8 1.782E-01     1.32
  11080800      0.6         20      8.4    1005.2         91         7 1.188E-01     1.42
  11091600         1       230      8.8    1005.1         93         9 5.940E-02     1.52
  11102400      1.5        270        11   1003.6         84         7 0.000E+00     1.62
  11113200      5.3        290     12.2    1001.7         68         5 6.480E-03     1.56
  11124000      0.7        290      9.9    1001.5         78         5 1.296E-02      1.5
  11134800      2.4        280      8.3    1001.7         81         1 1.836E-02     1.45
  11145600      1.7        160      5.6    1001.6         87         1 2.484E-02     1.39
  11156400      1.5         90      4.1    1000.7         89         1 3.132E-02     1.33
  11167200      0.5        120      2.8    1000.2         92         2 3.780E-02     1.27
  11178000      2.1        260      5.8    1001.2         91         7 4.428E-02     1.22
  11188800      4.6        100     10.1     999.6         76         7 4.968E-02     1.16
  11199600      1.3        240     12.7     999.9         69         7 7.452E-02     1.14
  11210400      3.2        210     11.8    1000.7         74         7 1.004E-01     1.13
  11221200      6.5        290      9.9    1001.8         71         7 1.253E-01     1.11
  11232000         0         0      6.2    1001.9         83         7 1.501E-01      1.1
  11242800      1.8         70      5.5    1001.5         88         7 1.750E-01     1.09
  11253600      4.2        100         7    999.9         78         7 1.998E-01     1.07
  11264400         3       100        10   1001.1         71         8 2.246E-01     1.06
  11275200      4.3         70     13.7     999.9         63         8 2.495E-01     1.04
  11286000      1.9        330     12.6    1000.4         73         8 2.192E-01     1.09
  11296800      1.1        260      9.5    1001.7         87         8 1.879E-01     1.13
  11307600      1.3        190      8.8       1002        91         7 1.566E-01     1.17
  11318400      1.3         40      8.2    1001.5         92         7 1.253E-01     1.22
  11329200      1.1        230      7.4     999.5         94         8 9.396E-02     1.26
  11340000      1.3        360      6.4     999.1         94         8 6.264E-02      1.3
  11350800      1.3        270         6   1000.7         94         9 3.132E-02     1.35
  11361600      1.5        270     11.3    1001.8         76         2 0.000E+00     1.39
  11372400      5.1        300     12.8       1003        66         6 9.720E-03     1.35
  11383200      3.9        280      9.2    1006.1         78         2 1.836E-02      1.3
  11394000      2.3        350      6.4    1007.6         79         4 2.808E-02     1.26
  11404800         1       350      4.7    1006.1         87         2 3.780E-02     1.22
  11415600      1.6         90      3.3    1005.3         88         2 4.644E-02     1.17
  11426400      1.6        270      5.2    1004.5         85         7 5.616E-02     1.13
  11437200      2.7        140      6.7    1005.9         87         8 6.588E-02     1.09
  11448000         1       300      8.5    1006.7         82         6 7.452E-02     1.04
  11458800      2.1        300        13   1006.4         65         3 7.776E-02     1.03
  11469600      4.4        330      9.6    1008.7         75         2 8.100E-02     1.01
  11480400      1.4        150      6.7       1010        84         1 8.424E-02         1
  11491200      2.2        270      4.4    1010.8         90         2 8.748E-02     0.98
  11502000      2.4        130      4.3    1010.7         91         2 9.072E-02     0.97
  11512800      1.4         80      3.5    1011.8         92         7 9.396E-02     0.95
  11523600      2.1        150      7.3    1012.2         94         8 9.720E-02     0.94
  11534400      1.6         30     12.1    1011.6         82         7 1.004E-01     0.93
  11545200      0.5         40     13.6    1010.6         75         7 2.214E-01     1.01
  11556000      3.3        140     11.5    1010.5         82         7 3.434E-01      1.1
  11566800      2.4        140     11.6    1009.5         84         8 4.655E-01     1.19
  11577600      3.3         90     12.4    1007.1         75         7 5.875E-01     1.27
  11588400      0.6         70        12   1004.8         71         6 7.096E-01     1.36
  11599200      1.6         70        11   1003.5         71         7 8.316E-01     1.45
  11610000      1.3        120     12.9    1002.4         61         7 9.536E-01     1.53
  11620800         6       280        11   1004.3         89         8 1.075E+00     1.62
  11631600      6.9        280      9.7    1004.4         90         7 9.407E-01     1.72
  11642400         6       290         9   1005.5         83         2 8.068E-01     1.82
  11653200     11.8        290      9.1    1008.1         71         3 6.718E-01     1.92
  11664000      3.4        330      7.6    1009.9         71         5 5.378E-01     2.03
  11674800      7.5        290      6.7    1010.8         77         5 4.028E-01     2.13
  11685600      7.4        300      6.1       1012        77         0 2.689E-01     2.23
  11696400      7.1        290      9.2       1014        64         3 1.339E-01     2.33
  11707200      7.6        330     13.2    1014.2         41         2 0.000E+00     2.43
  11718000      6.8        310     13.8    1012.5         45         2 9.720E-02      2.3
  11728800      3.4        310     10.2    1012.7         56         3 1.933E-01     2.17
  11739600         1        10      6.3    1012.6         76         1 2.905E-01     2.04
  11750400      1.4        100      3.7    1012.2         83         1 3.877E-01     1.91
  11761200      2.1         30      4.4    1009.6         83         1 4.838E-01     1.78
  11772000      1.6        140      6.4    1008.5         65         5 5.810E-01     1.65
  11782800      4.1        120        12   1008.1         71         7 6.782E-01     1.52
  11793600      7.7        140        15   1006.5         71         7 7.754E-01     1.39
  11804400      6.6        130     15.3    1004.6         71         8 6.782E-01     1.62
  11815200      4.2        320     11.9       1007        84         8 5.810E-01     1.85
  11826000      4.8        300        10      1009        86         7 4.838E-01     2.08
  11836800      9.8        310     10.5       1009        69         7 3.877E-01     2.31
  11847600     13.6        330      9.5    1008.9         73         7 2.905E-01     2.55
  11858400     15.4        330      9.8    1009.3         69         2 1.933E-01     2.78
  11869200      9.2        340     10.3    1011.7         63         1 9.720E-02     3.01
  11880000      7.2        330     14.5    1012.6         52         0 0.000E+00     3.24
  11890800      4.2        340     16.1    1012.5         50         0 0.000E+00     3.11
  11901600         3       350     10.8       1014        70         0 0.000E+00     2.98
  11912400      1.2        190      6.7    1015.4         86         0 0.000E+00     2.85
  11923200         0         0      5.8    1015.4         87         0 0.000E+00     2.72
  11934000      2.2        120      4.1    1015.2         90         0 0.000E+00     2.59
  11944800      1.9        120      3.8    1015.1         92         0 0.000E+00     2.46
  11955600      1.7        260      8.8    1015.3         81         0 0.000E+00     2.33
  11966400      0.7        320     14.9    1014.6         59         2 0.000E+00      2.2
  11977200      4.7        190     17.1    1012.9         46         2 2.160E-02     2.33
  11988000      5.4        150     13.2    1012.4         51         2 4.428E-02     2.46
  11998800      2.6        120        12   1013.3         72         1 6.588E-02     2.59
  12009600      1.4        130     11.1    1013.5         66         5 8.748E-02     2.72
  12020400      2.6        150     12.3    1013.1         65         5 1.091E-01     2.85
  12031200      0.5         60      8.2       1013        81         6 1.318E-01     2.98
  12042000      6.2        100     13.8    1012.9         53         7 1.534E-01     3.11
  12052800      4.4        100     15.4    1012.1         49         7 1.750E-01     3.24
  12063600         6       120     14.8    1010.8         48         8 1.534E-01      3.2
  12074400      9.6        110     13.5    1009.7         47         7 1.318E-01     3.15
  12085200     11.6         90     13.5    1008.5         43         7 1.091E-01     3.11
  12096000     12.3        100        12      1008        64         8 8.748E-02     3.07
  12106800     13.6        100     10.8    1007.2         67         7 6.588E-02     3.02
  12117600     14.1        110     10.4    1007.7         66         7 4.428E-02     2.98
  12128400     12.2        100        11   1010.1         58         7 2.160E-02     2.94
  12139200      9.1        100     13.2       1011        52         7 0.000E+00     2.89
  12150000      5.2         60        12   1011.3         60         7 0.000E+00     2.71
  12160800         3       360     10.3    1012.9         78         7 0.000E+00     2.52
  12171600      1.1         70     10.2    1013.4         70         7 0.000E+00     2.33
  12182400      0.9        210      9.4    1013.2         83         7 0.000E+00     2.14
  12193200      1.1        120      7.7    1011.1         85         7 0.000E+00     1.95
  12204000      0.6         80      5.4    1010.2         92         1 0.000E+00     1.77
  12214800      0.6        270      8.4    1010.1         87         1 0.000E+00     1.58
  12225600      2.5        270        12   1008.5         72         1 0.000E+00     1.39
  12236400      4.6        190     14.1    1006.9         65         2 0.000E+00      1.4
  12247200      3.4        180        12      1008        75         7 0.000E+00     1.42
  12258000      1.2         40      9.2    1008.9         83         2 0.000E+00     1.43
  12268800         0         0      8.5    1008.1         82         0 0.000E+00     1.45
  12279600      1.9        130      5.5    1007.8         89         0 0.000E+00     1.46
  12290400      1.9        130      4.7    1007.6         92         1 0.000E+00     1.48
  12301200         1       310      8.6    1008.8         86         0 0.000E+00     1.49
  12312000         3       260     13.2    1008.4         69         1 0.000E+00      1.5
  12322800         2       290     14.5    1007.6         53         0 0.000E+00     1.55
  12333600         2       260     10.5    1008.6         73         0 0.000E+00     1.59
  12344400         0         0      6.8    1010.1         87         0 0.000E+00     1.63
  12355200         1       180      8.3       1011        85         7 0.000E+00     1.68
  12366000         1       260      8.6    1010.6         86         7 0.000E+00     1.72
  12376800         1       280         8      1011        87         7 0.000E+00     1.77
  12387600      1.8        180      9.9    1012.3         80         7 0.000E+00     1.81
  12398400      1.7        260     14.5    1011.8         56         6 0.000E+00     1.85
  12409200      1.8        270     15.1    1010.9         46         7 0.000E+00     1.85
  12420000      2.3        150     13.4       1011        67         7 0.000E+00     1.85
  12430800      2.6        260     11.8       1012        82         4 0.000E+00     1.85
  12441600      0.6         30        10   1011.5         83         4 0.000E+00     1.85
  12452400         2       140      7.7    1010.4         89         4 0.000E+00     1.85
  12463200      1.6         50      8.2    1010.2         89         3 0.000E+00     1.85
  12474000         2       270        11   1010.8         85         3 0.000E+00     1.85
  12484800         3       250     16.4    1010.6         56         6 0.000E+00     1.85
  12495600         5       210     14.5       1010        70         7 0.000E+00     1.82
  12506400         3       140     11.9    1010.5         81         2 0.000E+00     1.79
  12517200         3       120      9.6    1010.7         90         4 0.000E+00     1.77
  12528000         1       340      8.4    1010.6         92         4 0.000E+00     1.74
  12538800         3       130      7.8       1010        91         6 0.000E+00     1.71
  12549600         1        60      7.1    1009.7         92         5 0.000E+00     1.68
  12560400      2.2        310      9.8       1010        87         6 0.000E+00     1.65
  12571200      2.6        300     14.1    1009.6         67         3 0.000E+00     1.62
  12582000      3.3        280     15.6    1008.4         59         2 3.240E-03     1.61
  12592800      3.5        150     12.3    1008.9         81         1 6.480E-03     1.59
  12603600      1.3        150      9.2    1010.6         91         3 9.720E-03     1.58
  12614400      1.4        100      9.5    1009.8         92         2 1.296E-02     1.56
  12625200      1.3        120      8.1    1009.4         91         6 1.512E-02     1.55
  12636000      2.6        160      8.7    1010.1         93         7 1.836E-02     1.53
  12646800      1.7         30     11.6    1010.3         88         7 2.160E-02     1.52
  12657600      5.6        260     14.8    1010.5         71         7 2.484E-02      1.5
  12668400      2.2        280     14.4    1009.6         72         7 1.058E-01     1.45
  12679200      4.8        290     13.2    1010.1         79         7 1.879E-01     1.39
  12690000      4.3        290     13.4    1010.9         79         7 2.689E-01     1.33
  12700800      3.6        300     12.4    1010.4         85         7 3.499E-01     1.27
  12711600      1.8         70     11.4    1009.5         89         6 4.309E-01     1.22
  12722400      1.5        100     10.9    1008.2         91         7 5.130E-01     1.16
  12733200      0.9        180     12.2    1008.9         93         8 5.940E-01      1.1
  12744000         3       260     11.5    1008.3         83         8 6.750E-01     1.04
  12754800      8.6        280     12.2    1006.3         73         7 5.908E-01     1.35
  12765600      7.1        270     11.4    1007.2         74         7 5.065E-01     1.65
  12776400     11.1        290        11   1008.4         71         3 4.223E-01     1.95
  12787200     13.7        300      9.9    1007.8         76         2 3.380E-01     2.26
  12798000      7.5        310      8.5    1008.9         80         2 2.527E-01     2.56
  12808800         7       320      7.5    1009.9         79         1 1.685E-01     2.86
  12819600      9.7        310     11.5    1011.7         60         1 8.424E-02     3.17
  12830400        11       330     14.8    1011.5         50         5 0.000E+00     3.47
  12841200     14.2        340     14.6    1010.7         40         6 0.000E+00     3.54
  12852000     10.4        340     12.2    1012.2         54         4 0.000E+00     3.62
  12862800      7.3        330     10.2    1014.2         61         0 0.000E+00     3.69
  12873600      7.2        300     10.3       1016        64         5 0.000E+00     3.76
  12884400     12.2        340      9.2    1015.3         69         6 0.000E+00     3.83
  12895200        11       330      8.5    1015.9         71         1 0.000E+00     3.91
  12906000     14.9        340     11.3    1016.4         57         1 0.000E+00     3.98
  12916800     13.3        330     14.3    1016.4         45         2 0.000E+00     4.05
  12927600      7.3        340        16   1015.5         47         3 0.000E+00     3.85
  12938400      3.1        300     12.7    1015.3         58         5 0.000E+00     3.65
  12949200      4.9        310     10.5    1014.8         70         2 0.000E+00     3.44
