     Time        WW       Cap      Tair      Patm      Hrel      Nebu    Pr?ip.     Evap.
      sec       m/s         ?        ?C      mbar         %      octa m3/s/m2*e-m3/s/m2*e-8
   1058400         2        90     13.7    1019.1         80         2 2.484E-02     2.92
   1069200         3       340     19.6    1019.6         65         2 2.484E-02     2.97
   1080000         4       240     25.2    1018.2         46         1 2.484E-02         3
   1090800         2       250     24.7    1018.1         49         1 2.160E-02     2.95
   1101600         1       160     19.3    1018.8         77         0 1.836E-02     2.89
   1112400         1       130     16.3       1019        88         0 1.512E-02     2.84
   1123200         1       140     15.2    1018.6         91         0 1.296E-02     2.78
   1134000         2       160     13.1    1017.9         92         0 9.720E-03     2.72
   1144800         2       160     12.4       1018        92         0 6.480E-03     2.66
   1155600         2       290     17.8    1018.7         75         0 3.240E-03      2.6
   1166400         3       310     23.1    1017.3         49         1 0.000E+00     2.55
   1177200         4       210        23   1016.6         60         0 0.000E+00     5.55
   1188000         1       130     18.8    1017.1         77         0 0.000E+00     2.55
   1198800         2       160     15.9    1017.7         87         0 0.000E+00     2.55
   1209600         1       130     15.2    1017.3         83         0 0.000E+00     2.55
   1220400         0         0     14.2       1017        83         3 0.000E+00     2.55
   1231200         0         0     15.9    1016.8         75         1 0.000E+00     2.55
   1242000         3       100     20.5    1017.8         61         0 0.000E+00     2.55
   1252800         3       270     21.9    1017.1         56         5 0.000E+00     2.55
   1263600         4       190     22.2    1016.7         53         4 0.000E+00     2.56
   1274400         3       130     18.4    1017.3         67         1 0.000E+00     2.58
   1285200         1       150     17.7    1017.9         57         7 0.000E+00     2.59
   1296000         2       160     14.6    1017.5         70         0 0.000E+00      2.6
   1306800         2       130     13.1    1016.6         72         1 0.000E+00     2.62
   1317600         1       160     11.2    1016.5         81         2 0.000E+00     2.63
   1328400         1       300     17.8    1017.1         64         4 0.000E+00     2.65
   1339200         4       260     21.1    1015.3         55         4 0.000E+00     2.66
   1350000         3       250     22.5    1013.9         46         3 0.000E+00     2.75
   1360800         1       150     16.8    1014.6         69         0 0.000E+00     2.84
   1371600         2       140     14.1       1015        81         0 0.000E+00     2.92
   1382400         1       160     13.4    1014.9         55         0 0.000E+00         3
   1393200         6       100     14.1    1014.4         52         0 0.000E+00      3.1
   1404000         4        90        14   1015.1         70         5 0.000E+00     3.18
   1414800         7       120     20.1    1015.9         52         3 0.000E+00     3.27
   1425600         8       140     21.4    1014.7         46         3 0.000E+00     3.36
   1436400         5       160     20.5    1013.9         46         7 3.499E-01      3.3
   1447200         2       160     17.3    1013.6         68         7 6.998E-01     3.24
   1458000         2       100     15.5    1013.9         67         6 1.050E+00     3.18
   1468800         2        90     13.8    1013.1         78         0 1.400E+00    3.125
   1479600         3       110     14.4    1011.5         80         3 1.750E+00     3.07
   1490400         3       110     16.3    1010.6         67         7 2.100E+00     3.01
   1501200         6       130     19.2    1010.4         59         7 2.451E+00     2.95
   1512000         8       130     20.1    1009.2         57         7 2.800E+00     2.89
   1522800         9       140     20.2    1006.9         55         7 2.451E+00     2.96
   1533600         7        90     18.8       1006        60         8 2.100E+00     3.04
   1544400         9       120     18.2       1006        71         8 1.750E+00     3.12
   1555200         1        90     16.5    1005.8         84         8 1.400E+00     3.18
   1566000         3        90     16.1       1003        83         8 1.050E+00     3.26
   1576800         8       120     17.6       1002        72         7 6.998E-01     3.33
   1587600         6       140     17.8    1002.3         74         7 3.499E-01      3.4
   1598400         5       120     19.7    1000.9         70         6 0.000E+00     3.47
   1609200         8       130     20.7       1000        64         7 1.512E-02     3.46
   1620000         9       130     18.4    1000.1         70         7 3.132E-02     3.44
   1630800         7       120     17.6    1000.5         76         8 4.644E-02     3.43
   1641600         9       130     18.6     999.7         72         0 6.264E-02     3.41
   1652400         4       120     18.4     999.5         73         7 7.776E-02      3.4
   1663200         6       100     16.2     999.6         80         4 9.396E-02     3.39
   1674000         4       100        20      1002        68         4 1.091E-01     3.37
   1684800         6       110     22.3    1001.4         60         3 1.253E-01     3.36
   1695600         8       130     21.4    1000.5         61         6 1.123E-01     3.23
   1706400         7       130     19.2    1001.1         72         7 1.004E-01      3.1
   1717200         4       100     18.8    1001.3         74         8 8.748E-02     2.97
   1728000         2        90     17.8    1001.3         85         7 7.452E-02     2.84
   1738800         5        30     17.5    1001.5         84         7 6.264E-02     2.71
   1749600         2       100     15.7       1003        85         1 4.968E-02     2.58
   1760400         3       290     18.7    1004.6         79         2 3.780E-02     2.44
   1771200         2       270     21.6    1004.7         63         5 2.484E-02     2.31
   1782000         5       200     20.6    1004.8         74         4 2.160E-02     2.37
   1792800         1       150     17.9    1006.2         85         6 1.836E-02     2.43
   1803600         2       120        16   1007.2         91         6 1.512E-02     2.49
   1814400         2        80     16.5    1007.9         90         7 1.296E-02     2.55
   1825200         3       140     15.7       1007        90         5 9.720E-03      2.6
   1836000         4        90     15.2       1007        88         7 6.480E-03     2.66
   1846800         5       130     19.7    1007.8         68         7 3.240E-03     2.72
   1857600         9       140     22.4       1007        60         5 0.000E+00     2.78
   1868400         7       130     21.1    1006.2         65         7 4.968E-02     2.75
   1879200         8       120     19.8    1006.2         70         7 1.004E-01     2.72
   1890000         7       120     19.5    1006.6         76         7 1.501E-01     2.69
   1900800         8       120     19.8    1005.6         78         0 1.998E-01     2.66
   1911600         7       110     19.8    1004.7         77         5 2.495E-01     2.63
   1922400        10       150     21.1    1003.7         76         7 3.002E-01      2.6
   1933200         9       140     21.8       1004        82         7 3.499E-01     2.58
   1944000         9       160     22.4    1003.1         79         7 3.996E-01     2.55
   1954800        10       150        22   1001.5         80         7 3.499E-01     2.62
   1965600         7       150     21.2    1001.9         81         8 3.002E-01     2.69
   1976400         5       130     20.9    1001.9         87         8 2.495E-01     2.76
   1987200         9       170     21.4    1001.2         80         0 1.998E-01     2.84
   1998000         4       180     20.2    1001.9         85         1 1.501E-01     2.91
   2008800         1       310     17.2    1004.1         92         5 1.004E-01     2.98
   2019600         3       280     19.1    1007.1         77         4 4.968E-02     3.05
   2030400         6       290     22.1    1007.2         55         5 0.000E+00    3.125
   2041200         4       280     22.6    1007.6         47         4 0.000E+00      3.2
   2052000         2       220     18.3    1008.4         69         3 0.000E+00     3.27
   2062800         2       120     14.8    1009.7         86         0 0.000E+00     3.34
   2073600         1        90     14.3    1008.8         82         0 0.000E+00     3.41
   2084400         2       100        15   1008.1         76         3 0.000E+00     3.49
   2095200         2       140     15.1    1008.5         67         3 0.000E+00     3.56
   2106000         4       130     22.3    1009.9         57         3 0.000E+00     3.63
   2116800         9       160     24.6    1009.4         56         3 0.000E+00      3.7
   2127600         6       150     23.6    1008.7         52         5 0.000E+00     4.05
   2138400         4       110     21.3    1008.9         53         5 0.000E+00      4.4
   2149200         6       110     19.3    1009.4         72         3 0.000E+00     4.75
   2160000         6       110     20.6    1008.9         57         0 0.000E+00     5.09
   2170800         8       100     21.3    1007.9         54         1 0.000E+00     5.44
   2181600        10        90     21.3    1007.1         53         1 0.000E+00     5.79
   2192400         9       110     24.8    1008.7         47         3 0.000E+00     6.13
   2203200        13       130     27.6    1009.4         43         1 0.000E+00     6.48
   2214000         9       120     26.7    1009.6         44         0 3.240E-03         6
   2224800         4       100        22   1011.9         60         1 6.480E-03     5.53
   2235600         7       120     20.8    1014.2         64         1 9.720E-03     5.05
   2246400         3       100     20.3    1015.6         65         0 1.296E-02     4.57
   2257200         3       130     19.1    1016.7         71         2 1.512E-02     4.09
   2268000         1       220     18.1    1018.5         75         1 1.836E-02     3.62
   2278800         1       250     21.2    1020.6         70         3 2.160E-02     3.14
   2289600         3       260     23.6    1020.7         60         4 2.484E-02     2.66
   2300400         4       250     23.6    1020.6         62         4 2.160E-02     2.65
   2311200         2       340     19.2    1021.5         80         2 1.836E-02     2.63
   2322000         2       130     17.3    1022.8         90         0 1.512E-02     2.62
   2332800         2       150     15.6    1022.7         92         0 1.296E-02      2.6
   2343600         0         0     14.9    1021.8         94         0 9.720E-03     2.59
   2354400         2       130     14.1    1021.9         95         2 6.480E-03     2.58
   2365200         1       300     17.5    1022.6         90         2 3.240E-03     2.56
   2376000         2       260     22.6    1020.8         67         3 0.000E+00     2.55
   2386800         5       300     25.6    1019.3         60         5 0.000E+00     2.71
   2397600         3       300     21.2    1019.4         73         5 0.000E+00     2.86
   2408400         5       310     19.6    1018.8         76         3 0.000E+00     3.02
   2419200         5       300     18.9    1017.5         73         0 0.000E+00     3.18
   2430000         7       310     18.6    1016.2         71         4 0.000E+00     3.34
   2440800         1       360        15   1015.2         84         6 0.000E+00      3.5
   2451600         2        20     19.9    1014.6         66         6 0.000E+00     3.66
   2462400         6       340     24.4    1012.1         47         6 0.000E+00     3.82
   2473200         9       330     23.2    1010.7         52         6 0.000E+00      3.7
   2484000        11       330     21.7    1010.6         54         7 0.000E+00     3.59
   2494800         9       320        21   1010.7         56         6 0.000E+00     3.47
   2505600        11       350     19.5    1008.8         65         2 0.000E+00     3.36
   2516400         5       360     16.6    1008.7         76         0 0.000E+00     3.24
   2527200         4        10     14.4    1009.3         85         1 0.000E+00    3.125
   2538000         3       360     19.2    1010.5         70         1 0.000E+00     3.01
   2548800         2       280        25   1009.6         52         1 0.000E+00     2.89
   2559600         4       260        24   1009.2         58         2 0.000E+00     2.76
   2570400         2       160     19.1    1010.8         74         1 0.000E+00     2.63
   2581200         1       100     15.7    1011.3         72         1 0.000E+00      2.5
   2592000         3       160     13.6       1012        80         0 0.000E+00     2.37
   2602800         2       130     12.4    1011.1         85         0 0.000E+00     2.24
   2613600         1       190     13.1    1011.3         84         3 0.000E+00     2.11
   2624400         1       200        20      1012        68         7 0.000E+00     1.98
   2635200         9       130        22      1011        62         8 0.000E+00     1.85
   2646000         3       120     21.2    1010.3         63         8 0.000E+00     2.18
   2656800         5       300     18.8    1010.8         78         8 0.000E+00     2.52
   2667600         2       330     17.2    1011.1         74         7 0.000E+00     2.85
